Date,NASDAQ,Inflation_Rate
22/10/2013,3929.570068,233.669
23/10/2013,3907.070068,233.669
24/10/2013,3928.959961,233.669
25/10/2013,3943.360107,233.669
26/10/2013,,233.669
27/10/2013,,233.669
28/10/2013,3940.129883,233.669
29/10/2013,3952.340088,233.669
30/10/2013,3930.620117,233.669
31/10/2013,3919.709961,233.669
1/11/2013,3922.040039,234.1
2/11/2013,,234.1
3/11/2013,,234.1
4/11/2013,3936.590088,234.1
5/11/2013,3939.860107,234.1
6/11/2013,3931.949951,234.1
7/11/2013,3857.330078,234.1
8/11/2013,3919.22998,234.1
9/11/2013,,234.1
10/11/2013,,234.1
11/11/2013,3919.790039,234.1
12/11/2013,3919.919922,234.1
13/11/2013,3965.580078,234.1
14/11/2013,3972.73999,234.1
15/11/2013,3985.969971,234.1
16/11/2013,,234.1
17/11/2013,,234.1
18/11/2013,3949.070068,234.1
19/11/2013,3931.550049,234.1
20/11/2013,3921.27002,234.1
21/11/2013,3969.159912,234.1
22/11/2013,3991.649902,234.1
23/11/2013,,234.1
24/11/2013,,234.1
25/11/2013,3994.570068,234.1
26/11/2013,4017.75,234.1
27/11/2013,4044.75,234.1
28/11/2013,,234.1
29/11/2013,4059.889893,234.1
30/11/2013,,234.1
1/12/2013,,234.719
2/12/2013,4045.26001,234.719
3/12/2013,4037.199951,234.719
4/12/2013,4038.0,234.719
5/12/2013,4033.169922,234.719
6/12/2013,4062.52002,234.719
7/12/2013,,234.719
8/12/2013,,234.719
9/12/2013,4068.75,234.719
10/12/2013,4060.48999,234.719
11/12/2013,4003.810059,234.719
12/12/2013,3998.399902,234.719
13/12/2013,4000.97998,234.719
14/12/2013,,234.719
15/12/2013,,234.719
16/12/2013,4029.52002,234.719
17/12/2013,4023.679932,234.719
18/12/2013,4070.060059,234.719
19/12/2013,4058.139893,234.719
20/12/2013,4104.740234,234.719
21/12/2013,,234.719
22/12/2013,,234.719
23/12/2013,4148.899902,234.719
24/12/2013,4155.419922,234.719
25/12/2013,,234.719
26/12/2013,4167.180176,234.719
27/12/2013,4156.589844,234.719
28/12/2013,,234.719
29/12/2013,,234.719
30/12/2013,4154.200195,234.719
31/12/2013,4176.589844,234.719
1/1/2014,,235.288
2/1/2014,4143.069824,235.288
3/1/2014,4131.910156,235.288
4/1/2014,,235.288
5/1/2014,,235.288
6/1/2014,4113.680176,235.288
7/1/2014,4153.180176,235.288
8/1/2014,4165.609863,235.288
9/1/2014,4156.189941,235.288
10/1/2014,4174.669922,235.288
11/1/2014,,235.288
12/1/2014,,235.288
13/1/2014,4113.299805,235.288
14/1/2014,4183.02002,235.288
15/1/2014,4214.879883,235.288
16/1/2014,4218.689941,235.288
17/1/2014,4197.580078,235.288
18/1/2014,,235.288
19/1/2014,,235.288
20/1/2014,,235.288
21/1/2014,4225.759766,235.288
22/1/2014,4243.0,235.288
23/1/2014,4218.879883,235.288
24/1/2014,4128.169922,235.288
25/1/2014,,235.288
26/1/2014,,235.288
27/1/2014,4083.610107,235.288
28/1/2014,4097.959961,235.288
29/1/2014,4051.429932,235.288
30/1/2014,4123.129883,235.288
31/1/2014,4103.879883,235.288
1/2/2014,,235.547
2/2/2014,,235.547
3/2/2014,3996.959961,235.547
4/2/2014,4031.52002,235.547
5/2/2014,4011.550049,235.547
6/2/2014,4057.120117,235.547
7/2/2014,4125.859863,235.547
8/2/2014,,235.547
9/2/2014,,235.547
10/2/2014,4148.169922,235.547
11/2/2014,4191.049805,235.547
12/2/2014,4201.290039,235.547
13/2/2014,4240.669922,235.547
14/2/2014,4244.02002,235.547
15/2/2014,,235.547
16/2/2014,,235.547
17/2/2014,,235.547
18/2/2014,4272.779785,235.547
19/2/2014,4237.950195,235.547
20/2/2014,4267.549805,235.547
21/2/2014,4263.410156,235.547
22/2/2014,,235.547
23/2/2014,,235.547
